text	label
Ironično je da je , baš kao i na Stretch , distributer Boss Level također odlučio napustiti film u kojem glumi Frenk Grilo što je automatski onemogućio da se pojavi na kino platnu prema zakazanom vremenu .	0
I dalje je živio s roditeljima , Mary ( Dorothy Atkinson ) i Arthurom ( Ian Puleston-Davies ) .	1
Također sam volio britanski naglasak i dijaloge koji su ovdje ispunjeni suhim humorom i ponekad duhovitim sarkazmom .	2
Veza između Logan i Charles Xavier većinu filma čini emocija .	1
Zemlja : SAD	1
Ono što čini War for the Planet of the Apes istinski se ističe je emocionalni naboj priče .	2
Međutim , nakon što je razgovor otišao u krivu s milijarderom Carltonom Drakeom ( Riz Ahmed – Rogue One : A Star Wars Story , The Night Of miniseries i sl .	0
I liječnika Zia Rodriguez ( Daniella Pineda – The Detour TV serije ) .	1
Činilo se da se previše trudi biti poput Indiane Jonesa , ali mislim da je to propalo i nije bilo zaista uzbudljivo .	0
Kreatori : Bryan Fuller , Alex Kurtzman	1
Glavne uloge Glumci : Hannah Ware , Olivia Chenery , Stephen Campbell Moore , Dimitri Leonidas , Eric Kofi-Abrefa , Gregg Chillin , Zoe Tapper , Leanne Holder , Lois Chimimba , Amir El-Masry , Albano Jeronimo	1
Imali smo ekranizaciju dječije knjige ” The Jungle ’ s Book ” ove godine koja je osvojila kina , kritičare i publiku i ja sam je gledao do sredine nekako , nikad do kraja , pa nisam nikad ni napisao recenziju iako imam osjećaj da sam vam ostao dužan .	1
Pošto već dugo vremena ne gledam filmove u CAM ( TS ) kvaliteti i čekam dobri HD , tako sam čekao i Marsovca .	1
B i H 15.02.2018	1
IMDB OCJENA FILMA : 7.1 / 10	1
Bliss je isprekidan trenucima koji istinski iskidaju srce , sa središnjim likom koji se očito bori da shvati stvarnost i gdje na kraju stoji s obzirom na život koji ima i život koji može ili ne mora imati .	2
Redatelj : James Bobin	1
Da ne bih navodio sve posebice , čitava glumačka ekipa je odradila posao na jednom vrlo zavidnom nivou zato treba pohvaliti ansambl koji se rijetko viđa .	2
Snažni kralj Harald ima ljutnju na Snježnu kraljicu , koja ga je mnogo povrijedila u prošlosti i želi se riješiti svih čarobnjaka .	0
Pronađite ih sve u ovoj uzbudljivoj akcijskoj thriller seriji .	1
Žanr : Akcija , Misterija , Sci-Fi , Filmovi 2021	1
Sve u svemu , ova tražena ekipa ‘ Mapeta ’ vjerovatno neće biti zeleno svijetlo za neke potencijalne nastavke , ali neka i ostane tako , jer nekima dugo nakon ovog filma , vjerovatno neće biti dobro .	0
Serija je bacila svježe srodne nepoznanice , iako ima jedno veliko ime u obliku strašnog Guy Pearcea .	1
A drugi stanari nisu baš druželjubivi , a bogami su i poprilično gladni .	0
Redatelj : Ridley Scott	1
Dr . Freya Upton ( Agyness Deyn ) je glavni pomoćnik prof . Collingwooda .	1
Možda je poznat kao mladi Cyclops u X-Men : Apocalypse .	1
Captive State	1
Nakon što su se okupili , braća i sestre koji su bili obučeni za spašavanje svijeta moraju djelovati brzo , kao nakon ponovnog pojavljivanja Petog broja ( Aidan Gallagher ) koji ih upozorava da svijet ima samo osam dana da živi prije nego što dođe kraj .	1
Ukoliko želite pogledati Ben Hura pogledajte originalnu verziju uz koju će vam , vjerujte mi , tri i pol sata brzo proljetjeti .	1
U kinima od :	1
U prve ‘ Igre gladi ’ sam se neočekivano zaljubio .	2
Gledajući unazad , mislim da sam se jedanput nasmiješio dok sam promatrao Despicable Me 3 , a ne sjećam se ni zasto .	0
Trajanje Epizode : 1h	1
Mumija ( 2017 )	1
Pa ovaj film je stvarno nevjerojatan u smislu akcije .	1
Zemlja : Canada | USA	1
Shvatio sam da je film pokušavao prikazati priču o Alien-u , ali osobno sam to smatrao predugo ( ili previse duboko ) , iako sam morao priznati da su akcijske sekvence bile vrhunske !	3
Ali mi također živimo u multikulturnom društvu , stoga se različite podgrupe stanovništva vrijeđaju na različite načine koji su jednako složeni .	1
Hrvatska 04.05.2017 .	1
Film se nije proslavio ni zaradom bogzna šta , jer je zaradio tek 52 miliona dolara i malo više na budžet od 25 , no nije to to , s obzirom da je ciljao vjerovatno na stotine miliona .	0
I Dannyev stari prijatelj otac Chuck ( Mark Gagliardi ) .	1
Wooow , ovaj film bio je nevjerojatan u smislu akcijske sekvence .	2
Da li za napušene insane , da li za debile kojima je i prst pred očima smiješan ili za djecu do desete godine života ?	0
Kritike nisu nešto bile na strani filma , i uglavnom njegov dolazak u svijet filma , bioskopa i među publiku , bio je relativno zapažen ali glavni razlog tome je što su zapravo – dosadili .	0
Datum izdavanja : 2 February 2018 ( USA )	1
Terminator : Genisys ( 2015 )	1
Odyssey te svakako može dosta toga naučiti .	1
I na IMDb.com ima rezultat od 8,8 / 10 .	1
Glavne uloge : Emilia Clarke , Matt Smith , Arnold Schwarzenegger	1
Da je nastavak podbacio kod kritičara , sumnjam da bi mu se treći put poklonilo povjerenje u ovolikoj mjeri , ali eto jeste .	3
Može li Thomas i njegovi prijatelji spasiti Minho i ostatak imunološke djece iz Wickeda i uništiti organizaciju ?	1
* Hm * .	1
Polazeći od osnivanja Rima , Romulus zapravo govori s gledišta tri različita lika , naime Yemosa , Wirosa i Ilije .	1
Godina : 2017	1
Aldis Hodge glumi Decourcy Ward , pomoćnika okružnog tužitelja s kojim Rohr radi kako bi pokušao riješiti srž slučaja .	1
Glavne uloge : Giovanni Ribisi , Marin Ireland , Shane McRae	1
Reditelj Innaritu je prošle godine osvojio Oskara za svoj film ‘ Birdman ’ , kao najbolji film godine , a ove godine , radeći vrlo marljivo i predano , priremio je još jedan spektatkl ne odmičući od svog stilskog izražaja i načina pripovjedanja .	2
Rekao sam djevojci da su borbe poput onih koje ćemo vidjeti u anime ili mangi , osim u live verziji .	1
U svakom slučaju , njegov lik je malo čudan i izgleda pomalo sjenovito i samo je zanimljiv dodatak castu .	3
Ocjena 7 / 10	1
Glavne ulogeTravis Fimmel , Ben Foster , Paula Patton	1
Ocjena : 5 / 10	1
Trailer Serije Blood & Treasure :	1
Onda imamo Peter Gerety , Libe Barer i Shane McRae kao još tri člana obitelji .	1
Ona rađa bebu na Marsu , ali umire na porođaju .	3
Širom svijeta je zaradio preko 132 miliona na budžet od 144 , ali nedavno je izašao u kina , tako da će zarada biti veća , ali ništa spektakularno , vjerujte .	3
A ovo je vrlo dobro usmjerena sezona .	2
Nažalost , zapravo to nisam osjetio u mom kinu koji je imao sistem Auro 11.1 .	0
Srbija 16.08.2018 .	1
Međutim , kad počne kopati po tom pitanju , Harries se nalazi u dubokoj državi koja ima svoju vlastitu ideju nacionalne sigurnosti , daleko od one koju priznaje australska vlada .	1
Tu Sigu je morao tražiti načine da joj vrati , uključujući i hvatanje čudovišta za nagradu .	1
Šta mu se dogodilo , pitam se ?	0
Kao sto sam već rekao , ovo je 6ti film u Alien franšizi , pa se preporučuje da najprije vidite Prometheus prije nego pogledate ovaj film , kako biste izbjegli poteškoče u razumijevanju glavne price .	1
Neobična veza koja se stvori između malog dječaka Hire i robota Baymaxa neobjašnjiva je stvar koja će pomoći njemu i grupi prijatelja da se odbrane od zlikovca .	1
Pogledajmo je li nastavak lojalan svom prethodniku ili je se samo usredotočio na akcijski pristup .	1
Iako mislim da bi bilo još i više da je bilo više sukoba s normalnim ljudima , a ne samo s vješticama .	1
Datum izlaska : 12 October 2016 ( France )	1
Courtney ( Ellen Page – Juno , Inception itd . )	1
Srbija 28.02.2019 .	1
Torq : Scena kad galeb sleti i aktivira bombu .	0
Zemlja : SAD	1
Godina : 2017	1
Međutim , bilo bi vam razumljivo samo ako ste gledali prvi i drugi film .	3
Žanr Akcija , Drama , SF , Triler	1
Borbeni Anđeo	2
koji je bio savršena osoba koja je pratila Blue , pametan i inteligentan Raptor .	2
Kreator : Maggie Friedman	1
Ima dosta boja , talijanske lokacije izgledaju prekrasno .	2
Ne postoji ni grama emocionalne iskrenosti ili nijanse The Space Between Us , tako da je film uglavnom inertan .	0
Izgledao je kao da sam pun nekih zamjerki , ali nisam , jednostavno sam pažljiv s detaljima , a film svejedno možete pogledati da ubijete radoznalost , da okusite neke novosti vezane za Mars i znanstvenu fantasiku i da shvatite da je ostalo još filmova između kojeg bi ste trebali izabrati favorita za Oskara ( pod favoritom mislim da navijate u većini kategorija ali i za glavnu – Najbolji film ) i da još nije kraj .	1
Film je u Americi zaradio nešto više od 13 miliona dolara na budžet od 16 miliona .	1
Poslanice su više dosadne nego što su ikad bile ( osim Minions ) , a oni čak ne radi ništa u filmu .	0
Zaradom je premašio sva očekivanja jer je zaradio više od 572 miliona dolara na budžet od 108 .	2
Svi ti prizori prirode , pejzaži , životinje , ljudi , vatra i snijeg , sve je predstavljeno besprijekorno .	2
Nakon nekih malih istraga , Peter je otkrio da je oružje kupljeno od nekih razbojnika , od kojih se jedan zvao Shocker ( Bokeem Woodbine – Riddick , Fargo TV series 2nd season etc ) .	1
Glavne uloge : Nicolas Cage , Lea Thompson , Chad Michael Murray	1
Zemlja : SAD	1
Datum izlaska : 18 .	1
Jennifer Lawrence , kao što je bilo i za pretpostaviti , najviše je imala koristi od samog filma , ali najviše je i uložila , mada nije jedina koja je dobra od ‘ Igara Gladi ’ , dobra je i sama autorica knjige .	2
Smatrao sam da sezona nije imala glavni završetak zbog čega bi bilo neugodno ako se ova serija ne obnovi ( dok sam ovo napisao , nije bilo jasnih naznaka hoće li biti druge sezone ili ne ) .	0
Bilo je i nekoliko smiješnih trenutaka koji su uključivali Shurija , i iznenađujuće od M ’ Baku ( Winston Duke ) .	2
Ali to nije bitno jer je , kao loša korporacija , pokazao vrlo dobru izvedbu .	2
Međutim , daleko je manje kohezivan i nema baš puno odgovora na nedostižnu radnju .	0
Dakle , ako vam se dogodi da obožavate serije X-Man i da zna i za lik Davida Hallera , ovo bi trebao biti zanimljiv izbor za vase gledanje , ali ako tražite seriju svjetlosnih superjunaka , ova definitivno nije jedna od njih .	3
Više nego što sam to učinio nakon što ste gledali .	1
Godina : 2017	1
Još manje nego s Titanima , ali barem imamo neke vijesti iz projekta i znamo kakav će tim biti .	1
Redatelj : Steven Spielberg	1
Ali nedavno sam dobio priliku gledati kompletnu prvu sezonu .	1
The Circle	1
Btw , ovaj film je režirao Travis Knight .	1
Trailer Serije Plemena Europe :	1
Ovako , ko voli nek izvoli …	3
Ne znam puno o ovoj Netflixovoj originalnoj seriji , ali kad sam pročitao sinopsis , pomislio sam zašto ne bih pokušao .	1
Do trenutka kada sam napisao ovaj post , druga se sezona trenutno igra , tako da bih za nekoliko tjedana mogao ih vidjeti ponovno .	1
Glavne uloge Glumci : Katherine Heigl , Sarah Chalke , Ben Lawson , Beau Garrett , Yael Yurman	1
Srbija 03.01.2019 .	1
Širom svijeta je zaradio preko 79 miliona ali slaba popularnost filma leži u činjenici da marketing nije bio razvikan do te mjere da ovaj film napravi veći udar odnoso širi krater u svijetu sedme umjetnosti .	3
Kreator : Peter Moffat	1
Max Steel je potpuno bezličan film o superjunacima koji više izgleda kao loš TV film nego ozbiljan pokušaj .	0
Ako volite serije s atributima koje sam ranije spomenuo , onda biste definitivno mogli isprobati i možda ćete uživati kao i ja .	2
Sasvim obična djevojka iz grada , Jupiter , otkriva da je njena sudbina vezana za nepoznatu galaksiju koja kontroliše sve svjetove pa i naš kakav poznajemo i sada ga želi uništiti .	0
Vođen tom logikom da se ne treba susprezati od ovakvih ostvarenja , na ljeto počnem pratiti još jednu mini-seriju ; ponovo krimić , ovog puta radnja smještena u novo stoljeće .	1
Redatelj : Steven Knight	1
Datum izlaska : 14 .	1
IMDB Ocjena Filma : 7.4 / 10	1
Zatim gluma .	0
Moja najdraža scena bila je u Cassijevoj školi .	1
12 .	1
Titlovan Trailer :	1
Hrvatska 15.02.2018	1
Zvučni efekti bili su prilično dobri s obzirom na to da sam ovaj film vidio u studiju koji se više usredotočio na udobnost .	2
Jedna stvar koju treba uzeti u obzir za one koji su vidjeli izvorni film je zaboraviti na to i samo uživati u ovom filmu .	1
Ovaj je , sad za sad , zaradio preko 509 miliona dolara na budžet 170 miliona , no zarada će još rasti s obzirom da je tek nedavno izašao u kina .	2
Problem je u tome sto roditeljima vjerojatno da će biti dosadno , ako se odlučite za gledanju u kinu .	0
Godina : 2018	1
Ocjena : 6 / 10	1
Ne samo da je to složeno uobičajeno s puno preokreta i okreta , nego je to i putovanje identiteta i života .	2
Egzebicija i penjanje na najveći vrh na svijetu Everest , kreće po zlu kada ekipu zadesi strašna oluja i nevrijeme .	0
Glavne uloge Glumci : Taylor Hickson , Amalia Holm , Demetria McKinney , Jessica Sutton , Ashley Nicole Williams , Lyne Renée .	1
Nakon više od sedam dana i odluke da prodam blog , odlučio sam se u međuvremenu pogledati jedan novi film čisto kako bih osvježio blog ali i dao vam znanja kakav je ‘ Čudesni Spider-Man 2 ’ .	1
Kao Spider-Man Peter je uvijek pokušavao pomoći ljudima dok se morao nositi sa svojim srednjoškolskim obavezama .	1
Jurassic World	1
Najava filma mi je izgledala primamljivo , ocjene solidne i to su uglavnom dva glavna sastojka za odluku i ono da prelomim , hoću li odgledati film ili na koncu , ipak ne .	1
Sada , povedena hrabrošću , želi spasiti Peetu i podstaknuti naciju na pobunu protiv Kapitola .	1
Serija je tako posvećena svoj jedinstvenom stilu , koji je stvorio svoje režije , skripte , velike cenzurirane psovke , pa cak i njegovu autentičnost .	0
Ali stvari ne bi bile tako lake kao što bi se činilo .	0
Sigurno jedan od razloga zbog toga je što ova serija donosi mnogo kontroverzi , budi temu nacionalizma u Evropi , i postavlja pitanja koja leže duboku u nama .	1
Osjeća se kao da se na ovom svijetu događa i nešto drugo , a ja to želim otkriti .	1
Ima i par kratkometražnih iza sebe .	1
Na Metacritic ima ocjenu 64 / 100 .	1
Zainteresirani za cyberpunk vrstu filma s velikim vizualnim efektima i predivnim borbama sigurno bi bili zadovoljni s tim .	2
Da sam film pustio bratu koji inače studira psihologiju / pedagogiju , on bi ovaj studij karaktera možda uzeo zdravo za gotovo i rekao bi mi kako je ovo jedan izvrstan film , tako da možete na ovom jednostavnom primjeru shvatiti koja je publika ovog filma .	1
Njihova je veza draga i ljupka , pružajući publici promišljenu vezu između nje i jednog od bića u središtu filma .	2
Trebao nam je pružiti neku vrstu lijepe avanture s vrlo velikim morskim psom koji lovi ljude .	2
Rhodes je jednako dobar i osjetljiv u svojoj ulozi Toma , a posebnu pažnju posvećuje Malkovichovu neumoljivom samodovoljnom Douglasu .	2
Za njega , ona je stvorila originalan način predstavljanja podvodne ljepote , koja sada ima sljedbenika u brojnim programima žanra .	2
Mislim da je CGI učinjen prilično dobro ( s obzirom na to da je imao proračun od 100 milijuna dolara , pretpostavio sam da to ne bi trebalo iznenaditi ) .	2
Uz najboljeg prijatelja Maxa , Shadow koristi svoje moći za dobro , tragajući za raznim kriminalnim šefovima koji su bježali policiji , pomažući njegovim bliskim prijateljima i obitelji , kao i onima koji traže njegovu pomoć kako bi grad bio sigurnije mjesto .	2
Ali kombiniran je s prilično puno dijaloga zbog kojih je tempo filma u pojedinim dijelovima bio malo usporen .	0
Duo se udružuje kako bi riješio zajedničke dileme u nadi da će ispraviti svijet u kojemu su prisiljeni postojati , kao i proći introspekciju na pitanja osobnosti koja bi mogla biti korijen problema .	1
Glavne uloge : David Morse , Joe Anderson , Gillian Alexy	1
Čini se da film ne može ni odlučiti o svom žanru .	0
Smjer je ovdje brz i zabavan , ali nikad do gubitka ozbiljnosti / napetosti , jer kada scena mora biti ozbiljna i neizvjesna , to je jeb … .	1
Sa odličnom idejom , još boljom razradom iste i sa vizuelnim efektima koji bi do većeg izražaja došli u kinu , jednostavno možemo samo žaliti što su ovaj film proglasili jednim od gubitnika ove godine .	3
A kad sam gore pomenuo , u jednu ruku mi se film i dopada , u jednu ne , i iako to zvuačalo isuviše kontradiktorno , film je poprilično zanimljiv , drži pažnju i ima svoje momente , tako da vjerujem da će i on naći svoju publiku .	3
Datum izlaska : 22.11.2017 ( svjetska premijera )	1
Ona je ovdje i ona je teška i zanimljiva ( više nego u “ Daredevilu ” ) , a Yung je sjajna u ulozi .	3
Tretmani ne funkcionišu kako se očekuje .	0
I dalje je terorizirao grad otimajući mlade djevojke .	0
Žanr : Akcija , Avantura , SF	1
Nakon što ga trački kralj unajmi s ciljem da pretvori njegovu vojsku u najopasnije i najokrutnije ratnike na svijetu , Herkul će se suočiti i s molbom kraljeve kćeri da ubije njenog oca i okonča njegovu tiransku vlast .	0
koji su preuzeli identitet Waspa također pokušavaju otkriti je li njihova supruga i majka Janet još uvijek živi u kvantnom području .	1
Ako se dobro sjećam , Cinemax kablovska TV obično se usredotočuje na akciju , ali ovaj put je stvorio zanimljivo nadnaravnu horor seriju .	2
Film je zaradio više od 32 miliona dolara na bužet od 12 .	2
Gotovo se osjećalo kao da pokušavaju prilagoditi svih sedam knjiga u jednom filmu .	0
Tu je i pokušaj stvaranja emocionalne napetosti između njega i njegovog brata , koji također igra Carell .	1
Manje veseli su brojni manji likovi koji nisu dobili nikakav oblik suptilnosti i mogu biti samo iritantni , jednodimenzionalni štreberi , koji su ponekad malo iscrpljujući .	0
Trajanje filma : 01 : 55 : 00	1
Je li mogao uvjeriti Tonyja o njegovoj sposobnosti i postati članom Avengersa ?	1
Torq : Film je priča o izmišljenom svijetu u kojem znanstvenik pokušava ukrasti djeci snove i na taj način spriječiti svoje starenje .	1
‘ The Giver ’ je u suštini isprazna priča koja se bavi i previše iscrpljenom pričom i koja uzalud troši i naše vrijeme i talente glavnih glumaca .	0
Na Metacriticu ima rezultat od 72 / 100 .	1
Datum izlaska : 6 May 2016 ( USA )	1
Nekoliko epizoda također sadrži tu stavku koja se okreće u kutu od 360 stupnjeva , što seriji pruža jedinstven stilski dojam .	2
Ocjena na IMDb.com mu je 6,4 / 10 a na Tomatoesima malih 19% .	1
Činilo se da je izgubio sjećanje i nije se mogao ni sjetiti vlastitog imena .	1
Teaser trailer već je sadržavao reference na neke od ikoničkih djela Stephena Kinga kao što su It , The Shining , The Shawshank Redemption i Salem ’ s Lot , pa se nadamo da će Castle Rock uspjeti izvesti pravdu .	1
Dakle , odvjetnik ( Aldis Hodge ) mora se udružiti s korumpiranim agentom FBI-a ( Kevin Bacon ) kako bi pokušao riješiti ovaj slučaj , što ih vodi niz spiralu koja nam pokazuje dubinu Bostonove korupcije .	0
Datum izlaska : 21 .	1
Baš simpatično .	2
Likovi su uglavnom bili simpatični .	2
Potjera , špijuni , zavjere i sve što leži ispod tog .	1
Kreatori poprilično neuspješnog animiranog filma “ Oops !	0
Forest Whitaker je izvrstan izbor za ulogu zloglasnog mafijaškog šefa , Godfather of Harlem mogao bi se pretvoriti u ozbiljnu dramu .	2
Stvari su se dodatno komplikovale kada je Seg sudjelovao u pobunjeničkoj skupini zvanoj Black Zero , pogotovo s jednim od njihovih tajanstvenih vođa ( Colin Salmon ) .	0
Koliko će dugo raditi kako bi postigao svoje ciljeve ?	1
Izgleda da mu nije pomoglo ni to što je Sharlto Copley jedan od glavnih glumaca , a Tim Bekmambetov jedan od producenata .	1
Njegov nastup u filmu je velik , kao što smo mogli vidjeti da je Logan vise manjkav čovjek od moćnog mutanta .	1
Kako ne bi bila samo borba dva glavna aktera tu se pojavljuju i dva upečatljiva ženska lika koja u seriji možda i imaju sporednu ulogu al u životima naša dva glavna aktera i ne .	1
Jedna stvar koja mi se svidja o seriji bila je performansa Krystena Rittera , za koju mislim da je stvarno bila uočljiva na portretu takve mračne , snažne spolja , ali ranjive od unutrašnjeg karaktera .	2
Po meni jedini dobar dio serije je upravo ta misterija .	2
Muzika je zanimljiva jer postoje neke pjesme koje su posebno sastavljene za njega Martin Slattery i Antony Genn .	2
A drugi lik koji je bio zabavan bio je glavni negativac gospodin Mr .	2
Žanr : Avantura , Komedija , Kriminalistički	1
Kreator : Michael Rauch	1
To je bio i dio gdje je film postao vrlo smiješan jer bi nas zabavljao vrlo divovski Ant-man ( ili Scott ) .	1
B i H 15.06.2017 .	1
U konačnici , dok sam utvrdio da će određena značajka biti izuzetno prosječna , iako s lijepim dizajnom i nezaboravnim nastupom Christophera Plummera , Trust inzistira mnogo više interesa u priči o Getty sagi , ima privlačniji stil , a uz korist od deset serijskih epizoda , to je mnogo više informacija .	3
) .	1
Koliko je Westworld zahvalan materijal za remake svjedoči i to što je HBO-va verzija koristi Crichtonov originalni scenarij na način da ga gotovo u nijednom detalju ne mijenja .	1
Prva stvar koja vam padne na pamet kada vam netko sada spomene ovaj film	1
Lightning McQueen ( Owen Wilson – Zoolander 2 , No Escape ) se vratio , ovaj put se mora dokazati protiv novaka koji su brži , moderniji i treniraju se tehnologijom , gdje su brojevi važni .	1
Je li se isplatilo čekati ?	1
Ekipa animiranog filma izgleda nije se mogla odlučiti jesu li za emotivnu priču ili urnebesnu komediju .	1
Preveliki skok scenografijom i atmosferom od svog prethodnika , ne može nikako biti dobra stvar , naprotiv , film tako gubi svoj identitet i skreće s puta kojeg prati , a fanovi ove franšize se ne bi trebali omesti mojom kritikom jer njima očigledno ovakva ” nepriča ” i još jedan naslov u kesi postapokaliptičnih , ljubavno-trouglastih i izlizanih , izrazito godi .	3
Mislim da je kao i većina Netflixovih serija , koje mislim da nisu loše , ali samo to , prenapuhana .	0
Datum izlaska : 25 September 2014 ( Germany )	1
Uživao sam u Elbinu kao liku Rolanda .	2
Nadam se da gore navedena kratka priča nije otkrila previše informacija jer bih volio da uživate u iznenađenjima i zabavnom iskustvu koje sam imao dok sam gledao seriju .	2
Godina 2015	1
Glavne uloge : Tom Hardy , Michelle Williams , Woody Harrelson , Tom Holland , Jenny Slate , Riz Ahmed , Scott Haze , Marcella Bragio .	1
Barem većini .	1
Ovaj film postavljen je u vrlo dalekoj budućnosti ( 28 . stoljeće ) gdje je Alpha , svemirska stanica koja je nastala iz zemlje , izrasla na mjestu gdje su mnoge vrste diljem galaksije živjele u harmoniji već dugi niz godina .	1
Sam kraj , iako očekivan , na neki način ne donosi tugu već neku vrstu smirene sjete .	1
Riječ je o crnoj komediji , odnosno horor / komediji , koja je prošla relativno neopaženo iako je okupila dobru ekipu i imala za obrađivanje jednu zanimljiviju temu , no ono što se činilo interesantnim , zombiji , vampiri i vanzemaljci , svi u jednom filmu s komičnim tonom , na kraju je ispalo neočekivano loše .	3
Trajanje filma : 01 : 51 : 00	1
Najveće iznenađenje u posljednjoj trećini filma bilo je dobro i također lijepo iznenađenje prije kraja .	2
Ovaj film je imao sve predispozicije da uspije ; bogatu filmsku ekipu , zvučno ime producenta , činjenicu da je umjetna inteligencija učestvovala u stvaranju trejlera i zanimljivu najavu koja me je automaski zaintrigirala no ipak nije sve pošlo kako su reditelj , scenaristi , producent i filmski studio nanijetili .	3
Pronađite ih sve u ovom vrlo zanimljivom antiheroj akcijskom filmu .	1
Iznad sam rekao da sam se zaintrigirao nakon što sam pogledao najavu koja kao da je obećavala malo znanstvene fantastike i akcije .	2
Prijatno iznenađenje , moram priznati , s obzirom da se nikad nisam toliko zadavao u samu historiju lika Peabodya koja doseže još do 50 - ih i 60 - ih godina prošlog stoljeća .	2
Mojeg i ne toliko , jer sam ja bio dječak koji je rastao uz ” Tom i Džerija ” , ” Looney Toons ” , zatim crtiće s ” Cartoon Networka ” i ” Boomeranga ” te ” Disney ” - eve i ” Pixarove ” likove .	1
Ovog puta , kao dodana je veća doza ozbiljnosti jer meteor juri ka njima , i tiše tiše , nemamo vremena obazirati se na to što je ovo peti dio , što je većini ova franšiza dojadila i što je vremenom izblijedila , tiše , tiše , de da gledamo šta će biti .	0
Glavne uloge : George Clooney , Britt Robertson , Judy Greer	1
Pa da u konačnici sumiramo : “ Deadpool ” je u inovacija u svemu koja nam treba ovih dana u moru blijedih kopija i dopast će vam se jer je zabavan , pozitivan , smiješan i otkačen te će kao takav otići u historiju superherojskih filmova koji su napravili revoluciju , ali po onoj pravoj kvaliteti koja se analizira i studira , ovo nije ni “ Kum ” ni “ Iskupljenje u Šošanku ” .	2
U kinima od : 19 May 2017 ( USA )	1
Ovaj film je za svakoga , a opet s druge strane , neće se baš svakome svidjeti jer odudara od standardnih ‘ hit & run ’ filmova .	3
Producenti su svjesni da će se djeca smijati kad neko padne , tako da je ovaj film pun plitkog i fizičkog humora .	1
Tom Cruise je dokazao još jednom da nije izlapio kao akciona zvijezda i u ovom filmu odradio je još jedan fenomenalan posao , još uzmete li u obzir da za skoro sve vratolomije i akcione momente radi bez svog kaskadera .	2
Kratka linija priče	1
Uvijek , prije nego što pogledam film , obično dobijem informacije o tome kako je primljen , što kod publike , što kod kritičara .	1
Odakle su došli ?	1
Godina 2014	1
I tako je i izašao u kina u sjeni većih i ozbiljnijih blockubustera .	0
